"date","hour","metrics","value"
"20141231","0","SO2",6.45588235294118
"20141231","0","NO2",11.1176470588235
"20141231","0","O3",60.4705882352941
"20141231","0","CO",0.270588235294118
"20141231","1","SO2",6.32647058823529
"20141231","1","NO2",10.0411764705882
"20141231","1","O3",57.8735294117647
"20141231","1","CO",0.285294117647059
"20141231","2","SO2",7.90588235294118
"20141231","2","NO2",10.0117647058824
"20141231","2","O3",55.1029411764706
"20141231","2","CO",0.273529411764706
"20141231","3","SO2",7.27941176470588
"20141231","3","NO2",9.45
"20141231","3","O3",53.4441176470588
"20141231","3","CO",0.264705882352941
"20141231","4","SO2",6.74411764705882
"20141231","4","NO2",8.42941176470588
"20141231","4","O3",52.6382352941176
"20141231","4","CO",0.267647058823529
"20141231","5","SO2",5.38235294117647
"20141231","5","NO2",8.01515151515152
"20141231","5","O3",54.6029411764706
"20141231","5","CO",0.261764705882353
"20141231","6","SO2",5.58235294117647
"20141231","6","NO2",8.56470588235294
"20141231","6","O3",55.5058823529412
"20141231","6","CO",0.267647058823529
"20141231","7","SO2",6.35882352941177
"20141231","7","NO2",11.2735294117647
"20141231","7","O3",52.6941176470588
"20141231","7","CO",0.294117647058824
"20141231","8","SO2",7.34411764705882
"20141231","8","NO2",14.4117647058824
"20141231","8","O3",48.2088235294118
"20141231","8","CO",0.329411764705882
"20141231","9","SO2",9.65294117647059
"20141231","9","NO2",15.6558823529412
"20141231","9","O3",44.6323529411765
"20141231","9","CO",0.367647058823529
"20141231","10","SO2",8.16666666666667
"20141231","10","NO2",14.5147058823529
"20141231","10","O3",48.6242424242424
"20141231","10","CO",0.358823529411765
"20141231","11","SO2",8.70882352941176
"20141231","11","NO2",12.0264705882353
"20141231","11","O3",52.6911764705882
"20141231","11","CO",0.338235294117647
"20141231","12","SO2",8.07058823529412
"20141231","12","NO2",10.4969696969697
"20141231","12","O3",55.9147058823529
"20141231","12","CO",0.323529411764706
"20141231","13","SO2",8.05
"20141231","13","NO2",9.84545454545455
"20141231","13","O3",58.5823529411765
"20141231","13","CO",0.314705882352941
"20141231","14","SO2",6.82941176470588
"20141231","14","NO2",10.2454545454545
"20141231","14","O3",60.0558823529412
"20141231","14","CO",0.308823529411765
"20141231","15","SO2",6.09705882352941
"20141231","15","NO2",10.6058823529412
"20141231","15","O3",60.7882352941176
"20141231","15","CO",0.297058823529412
"20141231","16","SO2",6.31176470588235
"20141231","16","NO2",12.2294117647059
"20141231","16","O3",59.9441176470588
"20141231","16","CO",0.311764705882353
"20141231","17","SO2",6.85714285714286
"20141231","17","NO2",14.5742857142857
"20141231","17","O3",56.5314285714286
"20141231","17","CO",0.328571428571429
"20141231","18","SO2",7.62
"20141231","18","NO2",18.1485714285714
"20141231","18","O3",52.5371428571429
"20141231","18","CO",0.38
"20141231","19","SO2",8.76857142857143
"20141231","19","NO2",20.5828571428571
